Link,Nome do Repositório,Região
"http://www.repositorio-bc.unirio.br:8080/xmlui/","Repositório Hórus","Região não definida"
"https://www.uff.br/?q=tags/repositorio-institucional","Repositório Institucional da Universidade Federal Fluminense (RIUFF)","Região não definida"
"https://metodista.br/stricto-sensu/ciencias-da-religiao/publicacoes/repositorio-digital-de-publicacoes-cientificas","Repositório Institucional da Metodista","Região não definida"
"https://repositorio.sis.puc-campinas.edu.br/handle/123456789/1955","Biblioteca Digital de Teses e Dissertações da PUC_CAMPINAS","Região não definida"
"https://repositorio.unisagrado.edu.br/jspui/","Biblioteca Digital de Teses e Dissertações da USC","Região não definida"
"http://www.repositorio.cdtn.br:8080/jspui/?locale=pt_BR","Biblioteca Digital de Teses e Dissertações do CDTN","Região não definida"
"https://repositoriodatasharingfapesp.uspdigital.usp.br/","Repositório COVID-19 Data Sharing/BR (Fapesp)","Região não definida"
"https://repositoriodedados.unifesp.br/","Repositório de Dados de Pesquisa UNIFESP","Região não definida"
"https://repositorio.utfpr.edu.br/jspui/","Repositório de Outras Coleções Abertas (ROCA) da UTFPR","Região não definida"
"https://www.repositorio.furg.br/","Repositório Institucional da FURG (RI FURG)","Região não definida"
"https://repositorio.ucs.br/","Repositório Institucional da UCS","Região não definida"
"https://ead.uepg.br/site/repositorios/repositorio-nutead-2","Repositório Institucional da UEPG","Região não definida"
"https://bibliotecas.ufpr.br/repositorio/","Repositório Institucional da UFPR","Região não definida"
"https://repositorio.ufsc.br/","Repositório Institucional da UFSC","Região não definida"
"http://repositorio.unesc.net/","Repositório Institucional da UNESC","Região não definida"
"http://repositorio.jesuita.org.br/","Repositório Institucional da UNISINOS (RBDU Repositório Digital da Biblioteca da Unisinos)","Região não definida"
"http://repositorio.uem.br:8080/jspui/","Repositório Institucional da Universidade Estadual de Maringá (RI-UEM)","Região não definida"
"http://repositorio.upf.br/","Repositório Institucional da UPF","Região não definida"
"https://repositorio.utfpr.edu.br/jspui/","Repositório Institucional da UTFPR da Universidade Tecnológica Federal do Paraná (RIUT)","Região não definida"
"https://repositorio.pucrs.br/dspace/","Repositório Institucional PUCRS","Região não definida"
"https://repositorio.uninter.com/","Repositório Institucional Uninter","Região não definida"
"https://repositorio.ufsm.br/handle/1/25","Biblioteca Digital de Teses e Dissertações do UFSM","Região não definida"
